"","ScreenName","Location"
"204","RafeAhmad5","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0632><U+0631><U+0642><U+0627><U+0621>, <U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0623><U+0631><U+062F><U+0646>"
"205","WisLawJournal","Wisconsin"
"206","EdwardCalame","The Great State Of Oklahoma"
"207","ForThePeopleFL","United States"
"208","bobgaree","Lakewood, OH"
"210","Mary_TVK","Guelph, Ontario"
"211","SkjeiDidiJudge","Rangerstown, USA"
"212","5150power","Bountiful Utah"
"213","URIpharmacyCPD","Rhode Island"
"214","LauraOinAK","Alaska"
"215","BankrollJersey","West Baltimore"
"216","ENAorg","Des Plaines, IL"
"217","gabriel76014520","South East, England"
"218","aaaashawee","Mechanicsville, VA"
"219","MedSense_MSGA","Springfield, IL"
"220","rbspell","Milwaukee"
"221","ineffabIedan","agnes"
"222","eorden","New York"
"223","bnbreilly","Lake Carmel, NY"
"224","ConnieAssiff","Houston, TX"
"225","shehan_peiris_","Chicago, IL"
"226","NewsdaySports","Long Island"
"227","workttech","Everywhere"
"228","LaurieFitzptrck","Philadelphia, PA"
"229","crunchleaf","Halifax"
"230","TheVista1903","Edmond, OK"
"231","MilwaukeeCP","Milwaukee, WI"
"232","ShaneMcGrody","Philadelphia"
"233","SmileLucySmile","Ireland"
"234","QTent2016","Toronto, Ontario"
"236","Alzheimers_NIH","Bethesda, MD"
"237","VesselMedical","Greenville, SC"
"238","sadiezzz1","United States"
"239","madisonkaley18","NC//TN"
"240","a_heimz","NJ/NYC "
"241","boredlatenight","Ontario, Canada"
"242","wordsfrommysoul","United States"
"243","insipidduck","Canada"
"244","HealthPolicyBot","The Interweb"
"245","POPSUGARMoms","NYC"
"246","Deweyoxberg","Canada"
"247","Quan_flu","climbing to the top"
"248","nbc15_madison","Madison, WI"
"249","joehaberstroh","New York"
"250","TehAngryAnalyst","Lowell, MA"
"251","_ang22","Denver"
"252","TherapiesEKHUFT","East Kent"
"253","Crimzonlogic","California"
"254","ToxicKewee","Evansville, IN"
"255","SciTheComedist","USA"
"257","MarleneBlair11","Louisville, KY"
"258","athetland","United States"
"259","EINGlaxoNews","Washington, D.C."
"261","cindyrelish","Madison"
"262","Rickard888","South of Boston, MA"
"263","alchipri74","Pennsylvania, USA"
"265","StepNpull","Springfield, MO"
"266","TracyPhotonSnow","Louisville, KY"
"267","GorgeousBossKy","Chicago, IL"
"268","jonsteingart","Washington, DC"
"269","AshPatKZwaagle","Kitchener, Ontario"
"270","goodolelapointe","Washington, USA"
"271","ClefdeSoll","California"
"272","shatteredtruce","outer space"
"273","LFCHD","Lexington, KY"
"274","ShaunReidESQ","Brooklyn, NY"
"275","angelamoneck","Florida"
"276","LutherDining","Decorah, IA"
"277","selftitled_ep","Somerville, MA"
"278","fox6now","Milwaukee"
"280","TheNYevening","New York, NY"
"281","ZoxPress","New York, USA"
"282","MERI_Inc","Madison, WI"
"283","NVICLoeDown","Sterling, VA"
"284","MarianelaCastes","Caracas"
"285","OurTroubledTime","Lowell, MA"
"286","mvclinical","Atlanta, GA"
"287","medlineplus","Bethesda, MD"
"288","latashianathan2","Oregon, USA"
"289","DrJRMarcelin","Omaha, NE"
"290","JournalofEthics","Chicago, IL"
"291","kelliaker1","North America"
"292","brianmillado","Scarborough, Ontario"
"293","blabrianna","Indiana"
"294","MizDelish","Cleveland, OHIO"
"295","amdiazrivera","Puerto Rico, USA (France in<U+2764><U+FE0F>)"
"297","TrulyJulieRokks","Jersey"
"298","JSkeleton92","Canada"
"299","Poz4Chasers","Biloxi, MS"
"300","kaycalla","Delaware, USA"
"302","LuisMarquezOfic","Mexico"
"303","ErickDavidMusic","Chicago"
"304","_s75w","Columbia SC"
"305","SciStarter","Philadelphia, PA"
"306","_AllisonMathews","NC"
"307","helenthe30th","Memphis"
"308","Michele79332702","Massachusetts "
"309","FourthEstatePBC","Washington, DC"
"310","WXOW","La Crosse, WI"
"311","microInfusions","Albuquerque, NM"
"312","AlexandeurL","Florida, USA"
"313","johnjuster","Montreal"
"314","Love4DogsCA","Vaughan, Ontario, Canada"
"315","RXinsider","West Warwick, Rhode Island"
"317","Anastashaaaaaa","Wisconsin, USA"
"320","johnnysgirldc","Indiana, USA"
"321","jdawson38995","Detroit Michigan "
"322","PBA_Health","Kansas City, MO"
"323","CGJames1980","Ottawa"
"324","urgentcare843","South Carolina, USA"
"325","trishcislak","Toronto"
"326","NICDInstitute","Washington DC/Tucson, AZ "
"327","kcawcutt","ÜT: 44.921604,-93.232332"
"328","SweetSisterSoul","Walled Lake,MI"
"329","gelihrndz","Cicero, IL"
"330","lizditz","San Mateo County, California"
"331","eTweeetz","United States"
"333","TryAHN","Nevada"
"334","teeagoans","Nashville"
"335","TwinCitiesBuzz","Minneapolis St Paul MN"
"336","PresenceHealth","Illinois"
"337","keivajohnson","Baltimore"
"338","GSU_Research","Atlanta, Georgia USA"
"339","Cait_Greer","Florida"
"340","RbdgSwg","Princeton, KY"
"343","nsanta99","Whitby, Ontario"
"344","wschultz","Northern California"
"345","lmhicks91","New Haven, IN"
"346","ElizaEatonStern","Aurora, CO"
"347","UNMCCOM","Omaha, NE"
"348","UNMC_ID","Omaha, NE"
"349","amfAR","New York"
"350","justbaykynal","Tennessee"
"351","unmc","Omaha, NE"
"352","RoseWellnessCtr","Oakton, VA"
"354","DampfFreiheit","Germany"
"355","MatthewBlittner","Brooklyn, NY"
"357","Scandal4Randle","CT"
"358","Alpha9571","United States"
"359","JayKingOtaku","Colorado Springs, CO"
"360","akronohiomoms","Akron, OH"
"361","kittymom04","Texas"
"362","doritmi","Bay Area, CA"
"363","theHR_DR","Avondale, PA"
"364","AudreyPirtle","Bowling Green, OH"
"365","BatzelKathy","United States"
"366","ShepardMedical","Roselle, IL"
"367","Mac_Dollasss","Eastside, Harlem"
"368","anoticingsenpai","California, USA"
"369","conserve","Wisconsin"
"370","westluva","Martil, Morocco"
"371","RobLicker","Brooklyn, NY"
"373","Vlntno01","New Jersey, USA"
"374","Sargent_SPH","Callander, Ontario"
"375","MarissaStella","Toronto"
"376","DenisGorman","Queens, New York City"
"377","duttysouthlia","Atl"
"378","Caveman_TB","Bronx, NY"
"379","JERIC_HOE","Bayonne, New Jersey"
"380","existentialpro2","Pennsylvania, USA"
"381","intelOverwatch","Texas, USA"
"383","js_newswatch","Milwaukee, WI"
"384","nat_bowling","Clay City, KY"
"385","journalsentinel","Milwaukee"
"386","bailsp6","Chicago, IL"
"387","northbros","Westland, MI"
"388","scmunk","Chattanooga, TN USA"
"389","CPMDigitalMedia","New York, NY"
"390","MetroPodiatrist","Richardson, TX"
"391","diablocain","Elgin, IL"
"392","PowerLibrary","Pennsylvania"
"393","DaddyMantz","Scarsdale, NY"
"394","SDesserud","Ontario Canada"
"395","EricaFlores83","Orlando, Florida"
"396","Kittylver706","Connecticut"
"397","UFMedicine","Gainesville, Fl"
"398","globaldisinfect","Fort Washington, PA"
"399","serpent_sky","Philadelphia, PA"
"400","h2only","St. Catharines, Ontario"
"401","Alyssamariedor1","Texas"
"404","weareiowa5news","West Des Moines, IA"
"405","PuckCentral","Northern, NJ (the good part)"
"406","PlanetaAshley","Boston, MA"
"407","GCDInsCons","Tampa, FL"
"408","destiny_224","Connecticut, USA"
"409","SunflowerJD","Southern Cali "
"410","oliviaappleby","cornwall"
"411","riverside","Eastern Virginia"
"412","HealthTechAge","New Delhi, India"
"413","loftmusik_","HTX <ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"414","dianencfcfan","Norfolk"
"415","Dancnlizard","Michigan"
"417","N8Mason","Altamont, NY"
"418","worldcareintl","Boston, MA"
"419","brazenhussyrant","Chicago, IL"
"420","OccuWorld","Earth"
"421","TheUSAbulletin","Canada"
"422","parxlobotomy","Chicago, IL"
"423","Frezzy23","Porte City Tx "
"424","mvrssv","city of angels "
"426","StacyFort","utopian hell"
"427","Pete54348398","Essex"
"428","coachfetterer89","Milan, IL"
"429","BloombergEnv","Arlington, VA"
"430","Itsversayce","New Hampshire, USA"
"431","kierstaaaann","Hagerstown md"
"436","NurseLander","Coppell, TX"
"437","nicolehunsinger","University of Minnesota '20"
"438","CustomerForYou","United States"
"439","siddrover77","YYT"
"440","SpringerSaint","Cheshire"
"441","TheLuckyPupp","New York, USA"
"442","hgreenfieldWV","Charleston, WV"
"443","chrstneterrible","brooklyn"
"444","js56519","Nashville Tennessee"
"445","MomofTeen","Shaking a Polaroid Picture"
"446","OSHAReporter","Arlington, VA"
"447","LynnBurns11","New York City "
"449","skinny_que","Maryland, USA"
"450","Heaterhotusus","Garbage Twitter Gulag"
"451","ScottSnowden4","Pace, Florida"
"452","roses_thorns","Stalking DUCKS with Vy! "
"454","angelhellf","Oklahoma City, Oklahoma"
"455","natishkagerald","<ed><U+00A0><U+00BC><ed><U+00B7><U+00B1><ed><U+00A0><U+00BC><ed><U+00B7><U+00A8>"
"456","KoreyEakers","Oklahoma City, OK"
"457","BetweenYou_Eye","Pennsylvania, USA"
"459","haleystaples","Mansfield, GA"
"460","FavThngs","Florida"
"461","ArliaMarie","South Carolina"
"462","jmak202","Kingdom of Saudi Arabia"
"464","rockinrob7970","Boston, MA"
"465","HealthyAmerica1","Washington, DC"
"466","colinmatthews","Pittsburgh, PA"
"467","MagicBitcoinNow","Washington, DC"
"468","_APCI","Bessemer, AL"
"469","FlexPAC","Indianapolis, IN"
"470","alex17ang","742 Evergreen Terrace"
"471","satyampandey007","Somewhere out there"
"473","MedLabSupply","Florida"
"474","sugarfreak","Baltimore, MD"
"475","UGAhealthcenter","55 Carlton Street"
"476","BrandoHCubs84","Jacksonville, IL"
"478","JesMixxinBeats","New York, USA"
"479","HealApp","California"
"480","Hotelaxemurder","United States"
"481","QB_Bob","Huntsville, Alabama"
"482","burnbuildbody","New York City"
"483","945Country","Topeka, KS"
"484","SarahBastien1","Washington DC, USA"
"485","SiouxlandNews","Sioux City"
"486","GOTNVInterior","Alaska, USA"
"487","TheHobbitAbides","Southwest USA"
"489","jrobhunter","Washington, DC"
"490","sevenohthree","Belleville, NJ"
"491","Laraneia","Norway"
"492","MPEriksen","Atlanta"
"494","marchbaby64","O*H*I*O"
"496","greg_folkers","Washington, D.C., U.S.A."
"497","StephLaberis","California, USA"
"498","Phinattic","Miami"
"499","marci_suggs","Tennessee, USA"
"500","wrair","Silver Spring, Maryland"
"501","1kimoui","Boston, MA"
"503","Roman_burgeR","North Canton, OH"
"504","skylineclean","Madison, WI"
"505","azureblade7","Indian Trail, North Carolina"
"506","Return2Ease","Ohio, USA"
"507","kewauneehealth","Kewaunee, WI"
"508","BooDooPerson","Brooklyn, NY"
"509","wwvacopp","Fort Lauderdale, FL"
"510","__BillClinton","NC"
"511","247Telemedicine","Fort Lauderdale, FL"
"512","advpharmamiami","Miami, FL"
"515","saraheconnelly","Buffalo, NY"
"516","BHSsings","blythewood, south carolina"
"517","sunshineorillia","Orillia, ON"
"518","Augusta68","Milwaukee"
"519","matthewbelcher","Chicago"
"520","drbillelwood","Bethesda, MD"
"521","Ashleygibs1","United States"
"522","joshLalves","The Bucket, RI"
"523","tomjon12","It used to be America"
"524","HarlemJ11","New York, NY"
"525","NYR30_","Brick, NJ"
"526","RobertaMiles","Chicago, IL"
"529","Vitotamito","America"
"530","AlmaKomi","Chicago, IL"
"531","HanChitti","Holland, MI"
"532","ariannab026","the trap"
"533","PharPoint","Durham, NC"
"534","PremierHealthOH","Dayton, OH"
"535","LotusOak","NoVA, USA"
"536","mulvey55","Philadelphia "
"537","kreighbaum","Washington, DC"
"538","ToriWallisch","Minnesota, USA"
"539","Vida_Shield","South Bend, IN"
"540","sarahcrente","Jupiter, FL"
"542","rtw1992","Las Vegas, NV"
"543","shawdy_israel","Atlanta, Ga"
"544","RealTacoNation","Interwebs"
"545","cjciaramella","Washington, D.C."
"546","PedenkoMishelle","Chicago, IL"
"547","ConeyIslandHosp","Brooklyn, NY"
"548","DrLindaDLee","United States"
"549","kiki_love88","Medina, OH"
"550","thatbillokeefe","New Jersey, USA"
"551","icite","Europe"
"554","Googleprincess3","Galway, Ireland"
"555","merhud10","South Carolina, USA"
"556","saintjohnsally","Saint John, New Brunswick"
"557","Matthew56215986","North Carolina, USA"
"558","gigigirl31","LaGrange, Georgia"
"559","_mistaKeene","New York "
"561","DrPuls","Colorado, USA"
"562","librarianliss","Nashville"
"563","luceee_6","Kansas, USA"
"564","cortney_dc","Washington, DC"
"566","IfhcInfo","Indianapolis, IN"
"568","borathyun","Toulouse, France"
"569","MikeZaladonis","Lehigh Valley, NJ/PA"
"570","KenatGV","Greenville, SC"
"571","Virgin_Lungs904","London, England"
"572","harrisshana24","Nashville AR"
"573","katiestruthers_","Ontario, Canada"
"574","GRMcKen","NW England"
"575","CreativeRfm","Sweden"
"576","cadewildey_305","Hilliard, OH"
"577","DrSeraJames","Cambridge, UK"
"578","JaimeGreen_","Atlanta, GA"
"579","Spiritjoo","United States"
"580","Nextgov","Washington, DC"
"581","amandagibsonnn","Savannah, GA"
"582","BMMWorldwide","New York  London  Jerusalem"
"583","NTD_SC","Georgia, USA"
"584","EatNuttZo","U.S.A."
"585","01breakaway","Mississauga, ON"
"586","CalhounTimes","Calhoun, Ga."
"587","itsonlyciara","Ottawa, Ontario"
"588","wabenews","Atlanta, GA"
"589","physicianswkly","Hamilton, NJ"
"590","CRHC51632","220 Essie Davison, Clarinda IA"
"592","bcbssc","South Carolina, USA"
"593","GGCandle","New York"
"594","FLU_2Cold","Columbus, OH"
"595","HRHospital","Toronto, Ontario"
"596","Lincsafe","UK & Wales"
"597","FearBroner","Rochester, NY"
"598","KnightOfNi222","Murfreesboro, TN"
"599","kurleeq13","United States"
"600","brucewyatt01","Boston, MA"
"601","HStaufferLNP","Lancaster County, PA"
"602","SaigleaAnn","Stroudsburg, PA"
"603","KristinY00","Jackson, NJ"
"604","WyomissingVet","Wyomissing, PA"
"605","Davis40_","J. Dickson<ed><U+00A0><U+00BD><ed><U+00B2><U+009B>"
"606","nswint","Arlington, VA"
"607","sycamorevets","Newtown, PA"
"608","fhchc","Emporia, Eureka & Madison, KS"
"609","southtownevet","Rochester, NY"
"610","japerez1115","Orlando, Florida "
"611","MeanwhileInTX","Texas"
"612","RidgeLakeAH","Woodbridge, Virginia"
"613","mnpeeples","Orange, CA"
"614","BMattthew","Gainesville, FL"
"615","GeorgeL68974934","United States"
"616","btdavies","Sleaford"
"617","LeesportAnHosp","Leesport, PA"
"618","MDHealthDept","Baltimore, MD"
"619","oliviasolomofo","ft myers"
"620","GreenfieldsVet","Mantua, NJ"
"621","kittytriplet","New Jersey, USA"
"622","RobertBelfi","Orlando, FL"
"623","Zanzertuchi","United States "
"624","SudsBitches","Bottom of Bullshit Mountain"
"625","CoppFloss","Suitland MD"
"626","GreatFallsAnima","Great Falls Virginia"
"628","TheNakedAdvice","U.S."
"629","RSVPMagazine","Ireland"
"630","SaludHEALTHinfo","SAN DIEGO"
"631","Morgan_Dalykas","Greece, NY"
"632","Qhef5","North Carolina, USA"
"633","KatieGibasTV","Buffalo, NY"
"634","9NorthRecords","Nashville, TN"
"635","knowitoutloud","Denver, CO"
"636","ArdmoreAH","Ardmore, Pennsylvania"
"637","cassidy_bernard","Mount Pleasant, MI"
"638","liquidskydesign","Switzerland"
"639","comunilifeinc","New York, New York"
"640","turnpikemusic","Nashville, TN"
"644","Save_That_Kief","Central City"
"645","ArchetypeGaming","Worldwide"
"646","healthtipsfeed","New York, NY"
"647","Taelis89","South East, England"
"648","edgehillmusic","Nashville, TN"
"649","inappropriaunt","Chicago"
"650","bla9771","BRANSON,  Missouri "
"651","Promo_Madness","Hollywood"
"652","Daniel31531138","North Carolina, USA"
"653","ellieboren","New York"
"655","Casssax","Connecticut"
"656","Coralliferous","New York"
"657","NicoleRileyLive","Canada"
"658","BloodReaperWolf","Phoenix, Arizona"
"659","chanceville","South Florida"
"660","WaterWavy","Springfield, MO"
"661","justshinyorg","Durham, NC"
"664","CareFrameOne","Massachusetts, USA"
"665","kangwoo10","Boston, MA"
"666","gregkoblentz","Fairfax, VA"
"667","UFHealth","Gainesville, FL"
"668","risslicious","Denver, Co, USA"
"669","jesslynn1317","RANGERSTOWN."
"670","LovinDaTacos","Ontario, Canada"
"671","JA_hoop2","Auburn, AL"
"672","xZoomRock_","Detroit, MI"
"673","TravisBDriver","New York, USA"
"674","biscottithedog","Central Florida"
"675","Cockyoin","Nowhere"
"676","d_yonceee","Jersey/Manhattan"
"677","WaterSpotta","Fort Myers, FL"
"678","NationalFreak","Texas"
"679","SamaTecno","Argentina"
"680","Tom33482663","Port St Lucie, FL"
"681","mbhasin_","Boston"
"683","louieduffleboy","Jersey"
"684","dohcook","Reading UK"
"685","itssgucciii","Birmingham, AL"
"686","Nenga_Mac","Oblivion and beyond <U+2196><U+2671>"
"687","WWJRHRD","Chicago, IL"
"688","skickwriter","Florida, USA"
"689","CosCobHamletHub","Cos Cob, Connecticut"
"692","PACPurdue96","Oregon, USA"
"693","Millah__J","Cumberland School of Law"
"694","kkarlea","Oklahoma City "
"695","_NinerGangYuBz","Cali"
"696","Stacy_shxo","Atlanta, GA"
"697","NYCKNP","Old Bridge, NJ"
"698","AvnishOswal","Pune, India"
"699","GarethSayer2","York, England"
"700","ios_digest","Atlanta, GA"
"701","massRN","North Carolina, USA"
"702","TeenaTchopra","Michigan, USA"
"703","Sethjfoxx","North Carolina, USA"
"704","verge","New York"
"705","RA_Becks","California, USA"
"706","effiekalantzis","Toronto"
"707","Skyler_ToHungry","Maryland, USA"
"709","RNYRF","RANGERSTOWN"
"710","VaxPro","Mequon, Wisconsin"
"711","ChildrensRVA","Central Virginia"
"712","pclovinU","USA"
"713","WagnerReese","Indianapolis, IN"
"716","ALPublicHealth","Alabama, USA"
"717","univgazette","Chapel Hill, NC"
"718","annavarela","Metro Atlanta"
"719","omybananaa","ig // omybananaa"
"720","small215","somewhere "
"721","97Colonel","New Brunswick"
"722","Justin_Whitner","Charlotte, NC"
"723","roguekelsey","New Mexico, USA"
"724","Oremm","NYC"
"725","cheryl_marlin","milky way galaxy"
"726","Urgikids","Naperville, IL"
"727","UrgentCareofNF","Niagara Falls, NY"
"728","SCAndersen86","Washington, DC"
"729","Zoono_USA","United States"
"730","Julzangell","Ontario Canada"
"731","arcejr27","Lawrenceville"
"732","InSTEDD","Silicon Valley"
"734","NIOSH","Washington DC "
"735","SustainableUGA","Athens, GA"
"736","critica_life","New York, NY"
"737","AmandaPip","Cincinnati Ohio"
"738","NaturalCures4us","earth"
"739","Nacobas","Atlanta, GA"
"740","akzee_"," arizona"
"741","sharon_mccarter","Newport, TN"
"742","jumpdashark","Bronx"
"743","marou_ps","philippines"
"744","behindthewalI","Massachusetts"
"745","CruisinSoozan","Canada"
"746","TNCRNA","Tennessee"
"747","SBHealthCare","Washington, D.C."
"748","NYRfan36","Queens, NY"
"750","supxsindi","Maryland "
"751","d_may57","Bartlesville, OK"
"752","Ezoasotherhand","Altamont, NY"
"754","MickMacPettyWac","STL"
"755","alwaysbenapping","Canada"
"756","Alexisnicole808","California, USA"
"757","FuturesClinic","Bloomington, IN"
"758","leonardjfrench","Allentown, PA, USA"
"759","YesBiggieYES","Lake Minnetonka"
"760","TeddybearMickey","Mars"
"761","deebraith1953","Florida"
"762","jclips19","Philadelphia, PA"
"763","aboyaseer1408","yanbu"
"764","jared96540410","Texas, USA"
"765","CindyHess65","Fort Wayne, IN"
"766","Craneman51M","Savannah, GA"
"767","Christy_Obie","Greeley, CO"
"768","Wills_Way92","Philadelphia, Pa"
"769","Ladevincolon1","New York "
"770","anirasxd","California, USA"
"771","TeddysLimo","Connecticut"
"773","J5_Wilshy","Philadelphia"
"775","__achavez","Houston, TX"
"776","PatKobor","Washington, DC"
"777","broncolee70","kansas city
"
"778","AdamRotter","New York"
"780","jacobsloan","Dallas, TX"
