"","ScreenName","Location"
"831","bogden890","Denver, Colorado"
"833","PeterJAussie","Sydney, New South Wales"
"834","BullsEyeHuntin","USA"
"835","cameroun24","Cameroun"
"836","ayuhamd","Borneo"
"837","MotherScuffer","Derbyshire"
"839","StarfleetPop","U.S.A."
"840","tisrobeans","St Louis, MO"
"841","Glory_Days_YT","United States"
"842","sugarrushdsocio","Vermont, USA"
"843","stevenacurtis","San Francisco Bay Area, USA"
"844","DoomsdayLibrary","United States"
"845","arandamdphd","California, USA"
"847","gurudarshan","Santa Fe, NM"
"848","ZO2_shoes","USA"
"849","DBHealthTips","United States"
"850","InspireInsideIX","St Peters, MO"
"851","ChonkyfireKicks","US"
"852","ShoesExplosion","US"
"854","joanturro","Catalunya"
"855","FranckJocktane","USA"
"856","PacificCove","USA"
"857","Linayo21","Lagos, Nigeria"
"858","zanga_musakuzi7","Lusaka"
"859","MzBussiee","Abuja, Nigeria"
"860","JP3Words","United States"
"861","megax8_","Newyork, USA"
"864","jolivei1967","Goiania GO Brazil"
"865","Pharel_Haag","KY"
"866","miime2","Lagos"
"867","jones_sarabeth","The Bible Belt <ed><U+00A0><U+00BD><ed><U+00B8><U+00B2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A8> ....U.S."
"868","BiteMeTrump2016","United States"
"869","joanne_venice","New Jersey, USA"
"871","trendingviral17","United States"
"872","Marcella_Jonas","United States"
"873","MaduManukaNZ","Jakarta"
"874","skwidword","Wisconsin, USA"
"875","KWCHMark","Wichita, KS"
"876","iamjosephy","Moshi Tanzania"
"877","prmedicalnews","USA"
"878","mather_julia","Queensland, Australia"
"879","JKNjenga","Nairobi, Kenya"
"880","catherinehape","United States"
"881","AugieMcmilla","United States"
"882","drcirujano1","Guayaquil,Ecuador.(Sudamerica)"
"883","msphilosopher","US"
"884","barbararria","United States"
"885","marympfreyb","United States"
"886","GathersJim","United States"
"887","JonIlawrenceceo","Denver, CO"
"888","dorispmoseya","United States"
"889","dorothymmayh","United States"
"890","lynseylvaine","United States"
"891","wendiscaston","United States"
"892","edithwkilmer","United States"
"893","JacquelinHilger","United States"
"894","gertrudeblindar","United States"
"895","TammyNladde","United States"
"896","Bene_Anarchy","Kenya"
"897","rosenedoer","United States"
"898","nadiamengend","United States"
"899","JrcquslinsDiane","United States"
"900","anthonroaney","United States"
"901","elizabethhala","United States"
"902","HopeWithinChaos","United States"
"903","medicalwebtimes","USA"
"904","javaeetrainer","USA"
"905","SchuflzJeff","United States"
"906","berthanriddler","United States"
"907","adelepnegret","United States"
"908","ErnaKimsey","United States"
"909","barbaracrar","United States"
"910","Jacquelynisha","United States"
"911","UnSilencedSGT","Tennessee, USA"
"912","MGAMBILWA","Tanzania"
"913","NewsRains","United States"
"914","uzma_nisar","srinagar, J & K"
"915","Jdguzmnmua","San Diego, CA"
"916","BUHealthyHusky","Bloomsburg, PA"
"917","Chubbybearys","Jakarta Barat, DKI Jakarta"
"918","tayfishhhh","Choctaw, OK"
"919","mctashyen","Lincoln"
"920","elspeth54","England"
"921","rentalrepair","United States"
"922","KimIndivisible","United States"
"923","ktubele","Gretna, NE"
"924","gosh_254","Nairobi, Kenya"
"925","theedondollar","Zambia"
"926","VDakaSini","Tonga"
"927","DimplezBee","Lusaka, Zambia"
"928","kjones88swag","THE TOWN"
"929","LMP36244505","Leeds UK"
"930","meitaljames","USA"
"931","jonurbana1","Denver, CO"
"932","BullFan2016","Wall Street"
"933","stlnews","St. Louis, MO USA"
"934","800346LUST","United States"
"935","nigeriamedicals","United States"
"936","ShorealoneFilms","Los Angeles, CA"
"937","a_venturaaaaa","California."
"938","kamalponday","Denver, CO"
"939","xianzheng63","usa"
"941","TRUradiostation","Little Rock, AR"
"942","blakshelt0n","Tishomingo, Ok"
"943","Agri_Natural","Dodge City, KS"
"944","santasclaw","United States"
"945","Susowjanyam","Hyderabad, India"
"947","Pitchinafit1","Hmmm, where’s the march today?"
"948","ladyonyxlp","wisconsin"
"949","cazzzerole","USA"
"950","PandaChiffon","United States"
"951","TrumpChatting","United States"
"952","syqau","USA"
"953","LittletonTWalle","St Paul, MN"
"955","LovelyBones6991","United States"
"956","aganguzza","CA"
"957","DickensAwino","Kenya"
"958","YourMelKum_ke","Lincoln, NE "
"959","kriddleberger","Boulder, CO"
"960","Julia_cx_","San Diego, CA"
"961","illyvanilly27","Island of misfit toys"
"962","Fanni_020","ACO"
"963","celymonte","Minneapolis, MN"
"964","sarahe786","Pleasant Prairie, WI"
"966","helovsu","NE Washington"
"967","OzarksMaven","Webb City, MO"
"968","ZiFMNews","Harare, Zimbabwe"
"970","KingBenTheXI1","Chur, Switzerland"
"971","kernsac","Sacramento, CA"
"972","CLAUDIAGRNLL","Omaha, NE"
"973","madisonb7_","fhsu"
"975","Docallergy","Las Cruces, NM. USA"
"977","kaycee_hannifan","Colorado Springs, CO"
"979","BreyonteK","United States"
"980","loveandthelike","Memphis, TN"
"981","bibibono11","USA "
"982","chloeefoster97","Olympia, WA"
"983","KMM8313","Lee's Summit, MO"
"984","ThaboKK22","Earth"
"986","fnper","Salt Lake City"
"987","j_jrohde","USA"
"988","RoxyEndjila","Namibia"
"989","shaneaaustin","Oklahoma City, OK"
"990","Astout24","Sacramento, CA"
"992","CheetosMama001","United States"
"993","WriteCraftQuest","United States"
"995","TrailheadAndy","United States"
"996","c_maria84","Doral,Fl"
"997","duganjames","Delray Beach, Florida USA"
"999","Yubbie007","USA"
"1000","Fryfiredistrict","Sierra Vista, AZ"
"1001","candyorocks","United States"
"1002","badasselis","Albuquerque, NM"
"1003","Jebriel","United States"
"1004","MerikaGarcia","Thornton, CO"
"1005","CaseyNolen","St. Louis"
"1007","Promo2day","United States"
"1008","NaturallyKurved","Little Rock, AR"
"1010","IbrahimEurope","Nigeria"
"1012","kingz254","nairobi"
"1013","NANxox2_WOKE","United States"
"1014","erikcoates895","United States"
"1015","ryleerickel","Ukiah, CA"
"1016","MaddieBollin","MO"
"1017","raven_ladybug","Nevada, USA"
"1019","Crash2411","Tennessee, USA"
"1020","_xoxo_lynn","United States"
"1021","GeekusSpeakus","United States"
"1023","shima_mousavi","Houston, TX"
"1024","TaylorSinnwell","Des Moines, IA"
"1025","memeadikt","United States"
"1026","butterfliesblue","pending"
"1027","geoappraiser","NW Arkansas"
"1029","allenordad","Fayetteville, AR"
"1030","mumfy68","Connecticut, USA"
"1031","DamnitSaldivar","Kansas, USA"
"1032","JamsTheKuma","Edmond, OK, USA"
"1033","patrickbeezes","San Clemente, California"
"1034","chris_m00dy","qld australia "
"1035","daisful","United States"
"1036","Sell_TShirts","Missouri, USA"
"1037","newsandjava","U.S."
"1038","RiverMonsterInc","Wichita, Kansas"
"1039","TashiannaJones1","Wichita, KS"
"1040","timparish511","United States"
"1041","LauraLaLaHarvey","Broomfield, CO"
"1042","v0lkano","DSM"
"1043","kaitlynShiannee","Winter Haven, FL"
"1044","romanryder","United States"
"1045","JamieMcCall","6 Countries in 6 Months!"
"1046","_KenyaE","United States"
"1047","SOUTHEASTBEAST2","Kansas, USA"
"1048","cranebabe2004","United States"
"1049","jeremiahtolbert","Lawrence, Kansas"
"1050","WWEAnand143","United States"
"1051","_caramelcutiee_","pending..."
"1052","vanilla_chi_tea","CA"
"1053","MakaylaLynnKin1","United States"
"1054","No3rdWaveFem","United States"
"1055","abbyfulton97","Topeka, KS"
"1056","Nuevomedio","Earth"
"1057","havocmarketers","Boulder, Colorado"
"1058","Madelyne_Maag","Columbia, Missouri"
"1059","funlaughinlady","United States"
"1060","chiabieber90","usa"
"1062","VTHokie2007","United States"
"1064","dayrin015","Nebraska, USA"
"1065","its_MissAshley","CA"
"1066","aviator1865","42.664602,-83.132946"
"1067","tilo423","Clive, IA"
"1068","JuanaDeArcoFr","Mi Causa es #Venezuela"
"1069","DementedWarlok","Indiana"
"1070","gusbic","Boston, MA"
"1071","dust2dust34","Denver, CO"
"1072","IMIMN1","United States"
"1075","conspiracybot","Bunker"
"1076","np74834","Oklahoma City, OK"
"1077","UreB31ngC0nn3d","United States"
"1078","EliciaRopte","Des Moines, IA"
"1079","GhosalNetai","Chandrakona, India"
"1081","JohnKish20","NW Louisiana, USA"
"1082","chels_chels95","Where I am "
"1083","ashllynn_","CA"
"1084","lisakitter","Arizona"
"1085","Trollificent","Earth"
"1086","destiny_shortt","Winter Haven, FL"
"1088","NolanRandall14","Small Town, Iowa"
"1089","useronthegrid","United States"
"1090","TheyCallMeKaels","Canyon, TX"
"1091","julia_phif","WISCONSIN"
"1092","lucianalisss","Teresina, Brazil"
"1093","lea_nicky","Roanoke, TX"
"1094","andra_tirdea","Traveling "
"1095","hello_itsliv","Owasso, OK"
"1096","Josh_R_Turner","Rogers, AR"
"1097","health_anbeauty","United States"
"1098","_jadee93","Memphis "
"1099","KDrama_Fever","U.S.A."
"1100","lillygreywater","Chaska"
"1101","ejungmeyer","Arizona, USA"
"1102","BLGSinYEG","Alberta"
"1103","LeaSyd92","Joplin, MO"
"1105","LoriPleiness","Cedar Rapids Iowa"
"1106","Miia_ann","St Louis, MO"
"1107","SandiSchorr","Staten Island, NY"
"1108","AubreySteinbri1","United States"
"1109","McalesterSam","McAlester, OK"
"1110","KarenBarbosa61","California, USA"
"1111","jenniferbijan","Moore, OK"
"1112","MyBariatricBox","United States"
"1113","CelinaSummers","Tennessee, USA"
"1114","EmilyP_RN","Minneapolis, MN"
"1116","wanjirukihusa","Nairobi"
"1117","scarlettxbabyy","United States"
"1118","chauneuf","nowhere"
"1119","Mtweetie4848gm2","Virginia, USA"
"1121","lyschen_","Derby, KS"
"1122","virginialhubbs","yukon,okla"
"1123","MAhealthforkids","Massachusetts, USA"
"1124","Anna_ohlala","USA"
"1126","laura_mae03","Tulsa, OK"
"1127","a_fathers_hope","Florida, USA"
"1128","jadeamber19xx","Minneapolis, MN"
"1129","Tinakrebs3","Alliance, NE"
"1130","CurlsandCurvez","United States"
"1131","dvet79","Tahlequah, Ok."
"1132","Math4Everybody","USA"
"1133","Peel_I_am","Little Rock, AR"
"1134","JVail19","Missouri, USA"
"1135","amylaurentravel","United States"
"1136","Moscynski","United States"
"1137","urraburu","Montevideo, Uruguay"
"1138","PharmaDecisions","San Francisco"
"1140","ArchibaldGavan","Denver, CO"
"1141","TheeScotsman","America"
"1142","leitch_sherry","Des Moines, IA"
"1143","WI4Palin","Wisconsin, USA"
"1144","lasnpatterson","Miami, FL"
"1145","sh3lbie_16","United States"
"1146","jonaleesearcey","Kansas City"
"1150","LalaCarolan","USA"
"1151","HenryLeerhenry","Olathe, KS"
"1152","JBirdDaBadman","The United States of America. "
"1153","lauren_hicks_lh","Colorado Springs, CO"
"1154","ARudiRudolph","Saint Paul, Minnesota"
"1155","mjenks32","North By God Carolina"
"1156","FungaiSJ","Bahia, Brazil"
"1157","PritchettKristi","Whitewright Texas"
"1159","LarsonElaineM","Pacific Time Zone."
"1161","Amanda_Rabalais","Little Rock, AR"
"1162","servant691","Tennessee, USA"
"1163","theycallmepay_","Memphis, TN"
"1164","bonitabrianaa","Texas, USA"
"1165","iceman9518","United States"
"1166","Keikeo91","Dont Worry About It, USA"
"1167","jamaya_lei","memphis."
"1168","amystrattonn","Colorado"
"1169","Trace_Ja_mes","Guyana, South America "
"1170","JustinJT_Esq","United States"
"1171","rapidsrabbi","Denver, CO"
"1172","Katie_Lovelyy","Denver, CO"
"1173","RainManMindset","Ohio"
"1174","LaramieLive","Laramie, WY"
"1175","nashvillenicole","Denver, CO"
"1176","ktjuju","Little Rock"
"1177","stacias219","Des Moines, IA"
"1178","itskimberly10","michigander"
"1179","MathMamaB","Tennessee"
"1180","kenzierae2015","Chadron, NE"
"1181","CKSonne","Madison, WI"
"1182","remontkvartir","United States"
"1183","emery_kaye","kansas "
"1184","Jamiefriess20","Michigan, USA"
"1185","WEwmgrm","United States"
"1187","Miller_J_A","Indiana "
"1188","FOX23BradCarl","Tulsa, OK"
"1189","SherriStatham","Missouri"
"1190","g_oyola","Brisbane, Queensland"
"1191","WriterJordyn","Albuquerque, NM"
"1192","HaivenRaine","Antlers, OK"
"1193","Got_Carr","Earth "
"1194","TheCheekyGinger","Kansas City"
"1195","nba_season2018","United States"
"1196","LadyMislon","Wandering the northwoods, WI"
"1197","KanourStephanie","Ottumwa, IA"
"1198","El_Flu","illadelphia"
"1199","Howtobefit","Albuquerque, NM"
"1200","pax_am_summer","America "
"1202","gzr3625","United States"
"1203","AHA_PGJohnson","USA"
"1204","ElCronicante","Lima, Perú."
"1205","chichito46","Shawnee, KS"
"1206","TyroneGJohnson1","United States"
"1207","nocovfefe","United States"
"1208","gtuinstra11","Stillwater, OK"
"1209","CrazyRxMan","United States"
"1210","senyorangelo","Earth"
"1211","Carmon21482266","Owasso, OK"
"1212","xLord_Finessex","4's Up | FLA <ed><U+00A0><U+00BD><ed><U+00BB><U+00A9> KC"
"1214","JDoolzMcScouty","Tennessee "
"1215","shriver_amy","Des Moines, Iowa"
"1216","Iove_bots","<ed><U+00A0><U+00B5><ed><U+00BA><U+0099><ed><U+00A0><U+00B5><ed><U+00BA><U+008A><ed><U+00A0><U+00B5><ed><U+00BA><U+009B><ed><U+00A0><U+00B5><ed><U+00BA><U+0094><ed><U+00A0><U+00B5><ed><U+00BA><U+008E><ed><U+00A0><U+00B5><ed><U+00BA><U+009B> "
"1218","vwg449","West Virginia, USA"
"1219","_haleydarling","Bye bye baby "
"1220","gdiepenbrock","Lawrence, Kan."
"1221","cwbig123","United States"
"1222","ecochildsplay","CA"
"1223","Slim01591727","United States"
"1224","GeraldineKestn2","Washington State "
"1225","Jonwooderman","USA"
"1226","garryowen_1_7","Arizona"
"1227","ABBeditor","Saint Joseph, MO"
"1228","LynnNodland","Minneapolis, MN"
"1229","KaraLeighHubbar","Cedar Hills, UT"
"1230","ClotCare","USA"
"1231","shoozietoo","United States"
"1232","lsmoore2405","USA"
"1233","baay615","Shawnee, OK"
"1234","cmrxdriguez","We$t coast"
"1235","IsabellaZayani","Albuquerque, NM "
"1236","_Mercedes_Smith","CA "
"1237","stevie_gore","Arizona"
"1238","spacexnic","Lima, Perú"
"1239","mikeetheprude","Minneapolis, MN"
"1240","BacchusVines","United States"
"1241","cannabistweets3","United States"
"1242","hotfire86","USA"
"1243","libsuecho","United States"
"1244","kennbreak","Missouri, USA"
"1245","yazziees","Turtle Island"
"1246","Mookiebri","United States"
"1247","jorgeescudero77","UE"
"1249","WalterRHubert","Brasil"
"1250","SourceDocu","United States of America"
"1251","ShineBright74","Little Rock, AR"
"1252","BrianMSTL","St Louis, MO"
"1253","FwamJoro","Jos, Nigeria"
"1254","AyuNandaPratiwi","makassar,Indonesia"
"1255","epitomewellness","United States"
"1256","themessednest","Salt Lake City, UT"
"1257","lizzie_shelby","McKinney, TX"
"1258","Onenotsoclassyb","Minneapolis, MN"
"1259","punkassaudrey","United States"
"1260","DeannaMc1","USA"
"1261","emily_emmers","Idaho, USA"
"1262","hschlent","Nevada"
"1263","EthanMCrane99","USA"
"1264","LewCandoit2","Cedar Falls, IA"
"1265","siskavalentino1","Samarinda"
"1266","slasher48","Ivan is a glorious masc human being."
"1267","Blondie520","S-town, OK"
"1268","denijan94","West Des Moines, IA"
"1269","izzaboo","Buffalo, WY 82834"
"1270","ridesmith","among the radiant #prabhasvara"
"1271","Real_CL_Norris","United States of America"
"1272","tiarrabanks1","Missouri, USA"
"1273","AUCResearch","Arizona, USA"
"1274","McKenzie698","Stillwater, OK"
"1276","foxwithmee","Omaha, NE"
"1277","TnInernational","Oklahoma City"
"1278","Shabbieee_","university of iowa"
"1279","CityDocResearch","Dallas, TX"
"1280","black21vanilla","Indonesia"
"1281","TheDark__Shadow","United States"
"1282","STAR1025","Des Moines, Iowa"
"1283","StepNpull","Springfield, MO"
"1284","joligoebel","United States"
"1285","ptconklin","Clear Lake, IA"
"1287","BrentDaniels_","The County"
"1290","DonnaKi86960276","Louisiana, USA"
"1291","Rekozu1","United States"
"1292","KSU_NABC","Manhattan, KS"
"1293","omar_carrion","Latin America"
"1294","MacCocktail","New Orleans"
"1295","cali_wolf","Denver, CO"
"1296","gpejacobi","Colima"
"1297","ladonnapietra","Albuquerque"
"1298","WellnessCtr101","United States"
"1299","JoylKendrick1","Fort Smith, AR"
"1300","PAT_riot_ACT","USA"
"1301","realistnilla","Wisconsin, USA"
"1303","JenniOrozco28","Raytown, MO"
"1304","Vitoria_Flu","São Gonçalo, Brasil"
"1305","kristinaann4","479|501"
"1306","ArtieJMorris","Arkansas"
"1307","joanna626","United States"
"1308","loljazzeh","russellville, ar"
"1309","According2Robyn","Wisconsin, USA"
"1311","BrianEub","Olathe, KS"
"1312","laurenkaysims","Boulder, CO"
"1313","playoutsidegal","Calgary, Alberta, Canada"
"1314","SashaInkFeather","Salt Lake City, UT"
"1315","laura_sprague","kansas"
"1316","M1Martel","Nowhere"
"1317","bjh2770","United States"
"1318","Jennife83124569","Texas, USA"
"1319","uk_builder","Northampton, England"
"1320","microphonephoen","NYC"
"1321","lynayerickson","South Dakota, USA   "
"1322","IMomsConnect","USA"
"1323","EloyAlfaroB","Panamá"
"1324","Jay_694","Wisconsin, USA"
"1325","MC_PublicHealth","Grand Junction, Colorado"
"1326","Meiguroshi_","Indonesia"
"1327","DreamRitual","Missouri"
"1328","GrimReaperInc","Closer than you know "
"1329","jenbearokc","Oklahoma City, OK"
"1330","dannymarie1222","Muskogee, OK"
"1331","kastro_chris","United States"
"1333","normanregional","Norman, OK"
"1334","mollyvanessas","Oklahoma City, OK"
"1335","Bunnybabib","Brasil"
"1336","BetsyGerrein1","Cincinnati, OH"
"1337","Bryanjunior19","Tanzania"
"1338","DRGtweets","Boston, MA"
"1339","CAsunshinegal","Planet Earth"
"1340","KellyJeanJames","Cheyenne, WY"
"1341","WvTrump","West Virginia, USA"
"1342","Nu_Flash_Prose","USA"
"1346","PaulKaneShadow","Derbyshire"
"1347","unitedheraldorg","United States"
"1348","taigh_lurr","Tennessee, USA"
"1349","Keythe1","United States"
"1350","ChpVintage","USA"
"1351","lyssaaaa__18","United States"
"1352","Iam_Ngoni_","Mutorashanga"
"1353","JBGoodbody","Missouri, USA"
"1354","R_Maisel","Council Bluffs, IA"
"1355","ErinOfAlaska","Alaska, USA"
"1356","skeIetonvirus","United States"
"1357","CinnamomRoll_","Wisconsin"
"1358","sunnyk8quist","Madison, WI"
"1359","CarsaScheas","Satellite of Love"
"1360","Angel19722","Omaha Ne."
"1361","HHSRegion7","Kansas City, Missouri"
"1362","SamanthaCotter9","America "
"1363","bowiememeXD","St Louis, MO"
"1364","ayee_yamila","Dallas, TX"
"1365","heval_gevara","earth"
"1366","aafp","Leawood, KS"
"1367","kingtungsten","United States of America"
"1368","_Carja","Michigan"
"1369","charli_roberton","United States"
"1371","milkjeonghan","J<ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>"
"1372","NewsGrit","United States"
"1373","GoldenRadioAge","USA"
"1374","camm_23_","Murray, UT"
"1375","cliveomullings","Miramar FL"
"1376","most_of_the_usa","United States"
"1377","BR_ForceOne","Brazil"
"1378","sylizziewoo","United States"
"1381","JWag85","America"
"1382","deankrosecz","Houston, TX"
"1383","sleepycircus","BayArea,CA."
"1384","toptentogo","United States"
"1385","moxiemom","United States"
"1386","frozen_fever","Kansas City, MO"
"1387","drsharonzang","Hulbert, Oklahoma"
"1388","HumamNature","Brasil"
"1390","BrianaEdwards95","ICT, C-137"
"1391","bailey5337","saint louis university"
"1392","HoneyChoook","OT"
"1394","BoredReasons","Earth."
"1395","DrDanPompa","Ogden, Utah"
"1396","AmazngBookZone","Minneapolis, Minnesota"
"1397","SPLITCONNECTION","USA"
"1398","emuirhead","USA"
"1401","SpringfieldPV","Springfield, NE"
"1402","Blackdollarz11","Missouri, USA"
"1403","MABarrettWrites","Boston, MA"
"1404","MacGustafson","Colorado Springs"
"1405","forever074","USA"
"1406","inkandpaper17","US"
"1407","soychemist","California"
"1410","emilygrace2004","United States"
"1412","DaisyFlowers_16","Tracy"
"1414","_Emanlei2898_","United States"
"1415","SuitcaseAllergy","Stowe VT, USA"
"1416","NukedHistorian","Kearney, NE"
"1417","annie_amountain","Dela-where?"
"1418","caseuuuuu","Minneapolis, MN"
"1419","DeloitteHealth","United States"
"1420","ahbagiyo","Jakarta"
"1421","KirnLynxAthleti","Council Bluffs IA"
"1423","Importantnotimp","Earth"
"1424","Itsme060602","United States"
"1425","GoganianSue","Boston, MA"
"1426","RenaPippiDon","Massachusetts, USA"
"1427","PhilDeCarolis","Southern California, U.S."
"1428","woahmichaela","Denver, CO"
"1429","breannagale","Arizona "
"1432","WestLibertyCSD","West Liberty, IA"
"1434","RickArnoldCRS","Sioux City, IA"
"1435","wlester66","Bakersfield, CA USA"
"1436","MOFACT","Jefferson City, Missouri"
"1437","tcmackin","Bloomington, MN"
"1438","MOKIDSCOUNT","Missouri, USA"
"1439","jenniferdelindq","Colorado"
"1441","bouldercohealth","Boulder County Colorado"
"1443","katefoxx15","Houston, TX"
"1444","EscoYessicaa","Bethany, OK"
"1445","Rell_Lauren","Brooklyn, NY"
"1446","SafeLibraries","USA"
"1447","san1tdm","Granite Bay, Ca"
"1450","GeminiGingerYT","Ogden, UT"
"1451","McBlondeLand","United States"
"1452","DaveOnTap","United States"
"1453","tapiiwanashe","Harare, Zimbabwe"
"1454","brian480480","Arizona, USA"
"1456","LawsBaBiiGrL615","Branson, Mo"
"1457","Peresson79","Florida"
"1458","highupband","Omaha"
"1460","franceschinian2","Ontario, Canada"
"1461","LovToRideMyTrek","Atlanta, GA"
"1462","heifer109","USA"
"1463","bigdramatic","United States"
"1465","mritapatterson","Pasadena,Texas "
"1466","eDocAmerica","Little Rock, AR"
"1467","RealMikeNapa","United States"
"1468","realreginahicks","Atlanta, Ga"
"1469","kttk234567","Satire, USA"
"1470","patchofdarkness","Arizona, USA"
"1471","trumps_feed","Washington, DC"
"1472","DRUDGE_REPORT","US"
"1473","tayyjamm","Guthrie, Ok"
"1474","wizardQi","USA"
"1475","appliedsoft","Florida, USA"
"1476","mhfbdenver","Denver, CO"
"1477","sexy_laticia","United States"
"1478","TheTristenL","Kansas City, MO"
"1479","GoettschMary","Rio Pinar, FL"
"1480","huskerbrad10","Lincoln, Nebraska"
"1481","Dimyoficial","Brazil"
"1483","dnartsdesk","Lincoln, NE"
"1484","billdamon","Boston, MA"
"1485","VidGameFreedom","NY Metro"
"1486","sarahburnes","Brooklyn"
"1487","SarahFrMassage","Park City, UT"
"1490","heatherbelle585","Midwest !!!!"
"1491","liliesparza_","CA"
"1492","and_McDowell","United States"
"1493","KateAdamick","New York, NY"
"1494","Bua_Ni_Viti","Nadi, Fiji"
"1495","trevorrayhons","Cedar Falls, IA"
"1496","OutdoorFamMag","The World."
"1497","TheresaMackin9","Massachusetts, USA"
"1498","DanWheatley4","LIVES IN BATH, ME- from New Haven,Ct"
"1499","ls_fry","Silicon Valley USA"
"1500","LoriMcMullin","Midwest"
"1501","RayFirszt","Salt Lake City, UT"
"1503","MissouriAAP","Jefferson City, MO"
"1505","MECPrivacy","DC, LA, and airports worldwide"
"1508","n1cklan1er","Wichita Falls, TX"
"1509","mferrini","Bay Area, CA"
"1510","julieduzyoga","Minnesota, USA"
"1511","naimanasir","Jos"
"1512","grayron","Flagstaff, AZ"
"1513","EGIDmommy","Kansas, USA"
"1514","CreativeGMSpage","USA"
"1515","Emissourian","Washington, MO"
"1516","CallCoryCom","USA"
"1517","judgeslet","Behind the bench/Florida "
"1518","PaulaOH2NV","Nevada, USA"
"1519","SyedOusman","Levittown, NY"
"1520","whiskyjack42","Canada"
"1521","lzut31","Québec, Qc Canada"
"1522","__miriammm","United States"
"1523","Bitte__B","Sweden"
"1524","memwarrantygirl","Memphis"
"1525","Monaca6","SC"
"1526","Canna69474868","Philadelphia, PA"
"1527","Barbara_Gare_Y","Adelaide"
"1528","kstonejones","Worcester, MA"
"1529","OneKindOfBlue","USA"
"1531","LivingBetter50","United States"
"1532","Blu3RSX","Planet Urf"
"1533","juliettekayyem","United States"
"1534","HSS_EMSolutions","Denver, CO"
"1535","RobertYates1982","Little Rock, AR"
"1536","all4mommies","United States"
"1537","Monkeysponk_","Florida, USA"
"1539","shiftclick","Bettendorf, Iowa"
"1540","kennylecanine","Kanto"
"1541","Nataizya_Ali","Lusaka,Zambia"
"1544","at254Kenya","Nairobi, Kenya"
"1545","keyonjala","United States"
"1546","denisekiles","Louisiana, USA"
"1547","analyticsprnews","USA"
"1548","katieesmitth14","Lawton, OK"
"1549","MWindelspecht","Earth"
"1550","arnold5508","Jakarta"
"1551","elitisticna","crossroads"
"1552","MoGov","Missouri"
"1553","DjCANDLESTiCK","Purple, Texas"
"1554","DavidSlusky","Lawrence, KS"
"1555","aurelliaparks","w/ jayce"
"1556","Three_Ten","USA - Midwest"
"1557","TransparentPloy","The Forbidding Interior, USA"
"1558","liz_lapoint","U.S."
"1559","reyesvicky_","Little Rock, AR"
"1560","nubbinspet","United States"
"1561","cstlnau","Flagstaff, AZ"
"1562","earthtolynette","CA"
"1563","cdhouch","St Louis, MO"
"1564","NewEnglandMomma","Massachusetts, United States"
"1565","_alexisstrader","somewhere in oklahoma "
"1566","kidoctr","Enid, OK"
"1567","aLITssatorres","Stillwater, OK/ San Antonio,TX"
"1568","cupcakesonkav","Little Rock, AR"
"1569","alauramassage8","Mobile"
"1570","thegirlaglow","Minneapolis "
"1571","Siubhan_H","United States"
"1572","onthecornernow","USA"
"1573","MsOCHubbard","Chicago"
"1574","Babalo000","Matatiel ,Durban, South Africa"
"1575","kamri_jo","dionte davis<U+2728>"
"1576","Lyssabaybee1998","Oklahoma City, OK"
"1577","KesterWyette","kyle wooten.<ed><U+00A0><U+00BD><ed><U+00B2><U+009B>"
"1579","LilFamAdventure","Oklahoma City, OK"
"1580","Trying2GAF","Memphis, TN"
"1581","gunnoe_chris","United States"
"1582","lpinsurance","Memphis, TN"
"1583","IrreverentGal","United States"
"1584","SkidneyVee","Rylos"
"1585","TKHirschfeld","University of Oklahoma"
"1586","foxfaeble","United States"
"1587","jackpresscott4","United States"
"1588","SarahDille099","Louisiana, USA"
"1589","annikarigglee","Utah, USA"
"1590","BootyBoo93","United States"
"1591","TheBridgeComo","Columbia, MO"
"1592","eileenstanke","United States"
"1593","BelleReaver","Gotham"
"1594","juanalacubana_","Kansas city"
"1595","delzorros"," USA "
"1596","waifusfuneral","Lawton, OK"
"1597","Tonnie_Taller","Thika"
"1598","alexaflotsam","St. Paul"
"1599","MicroPeen","Portland, OR metro "
"1600","JeanieSovereign","Jennings, LA"
"1602","illmill17","Boobtown USA"
"1603","LPELeaders","Parker, CO"
"1604","PerrineWinery","College Station, TX/ Aggieland"
"1605","BlaqqCassieDee","Auckland park, johannesburg "
"1606","wickedoctober","Northern Virginia/DC Metro "
"1607","starloey","bkg"
"1610","jennalynponraj","earth"
"1611","sayareyouh","662"
"1614","Slantastic","Somewhere, being awesome"
"1615","ImmunizeCOKids","Colorado"
"1616","WaChitsa2","Alice, South Africa"
"1617","aspenBRIDGET","Aspen, CO"
"1618","MelissaRadio","Denver, CO"
"1619","_buddahfly","Lusaka, Zambia"
"1621","jibunsenki","HI"
"1622","Koeksisterment","BSc - Physics // <U+0647><U+062F><U+0627> <U+0648> <U+0631><U+062D><U+0645><U+0629>"
"1623","AHA_EmPOWERED","USA"
"1624","Keellcc","Conway, AR"
"1625","mayelamen2a","Denver Co"
"1626","onegoodwoman39","Arab, AL"
"1627","hogulzt","Jakarta"
"1628","joebiscocho","Greenwich, CT"
"1629","jr_houser","Midwest"
"1630","MissWittank","Sofa"
"1631","sierrabrinegar","Missouri, USA"
"1632","Ms_Ndinda","Nairobi"
"1633","NurseswthHeart","Santa Fe, New Mexico"
